field	lat	long	halfEff	tilt	longFrac	usableFrac
F03812_20000205_1	0.006718427823736087	107.16239131299905	21.8009	5.756705148425144	0.0006873090254539466	0.9445559707292728
F03812_20000205_2	0.0010723023389523805	107.16323684200518	21.7558	5.75675874088397	0.0006873080093732152	0.9531070461148398
F03812_20000205_3	-0.0038635930302054963	107.16347201873252	21.721700000000002	5.756597735069711	0.0006873110619573077	0.9427269027103471
F03812_20000205_4	-0.007695873620444122	107.16307871944191	21.7198	5.756235211919429	0.0006873179353214002	0.9419371482988095
F03812_20000205_5	0.006130120887781246	107.16079165456556	21.8218	5.7560144676118	0.0006873221206687224	0.953121338051166
F03812_20000205_6	0.0008890314200235243	107.16013838612078	21.7989	5.755470975652935	0.0006873324256237801	0.9398964996560891
F03812_20000205_7	-0.004545902064004179	107.16046759463747	21.648600000000002	5.755322723177073	0.000687335236649894	0.943062813185819
F03812_20000205_8	-0.009930065155748164	107.16266045600892	21.6883	5.755945933903642	0.0006873234200912174	0.9572117302051779
F03916_20000205_1	0.6010906813609594	109.87915522218306	21.8484	6.903428746242686	0.0006663651664395708	0.959842857291992
F03916_20000205_2	0.5952617170681439	109.8799537629721	21.8243	6.903399489158873	0.0006663656811403933	0.9599615077420397
F03916_20000205_3	0.5900846882366847	109.88086544722496	21.8024	6.903455898554696	0.000666364688767495	0.9641373638508828
F03916_20000205_4	0.5860251685230042	109.88076745833449	21.7564	6.903169610499869	0.0006663697252796503	0.9565392369262973
F03916_20000205_5	0.6002547133734061	109.87792802452532	21.8349	6.902878875458081	0.000666374840120206	0.9575935966121474
F03916_20000205_6	0.5953948598045247	109.87724171835453	21.7841	6.90230463393473	0.0006663849429118959	0.9548147570912303
F03916_20000205_7	0.5898475600415068	109.87826608691412	21.7365	6.902384430806903	0.00066638353900088	0.9477167213221537
F03916_20000205_8	0.5856866782229048	109.88093545617976	21.7215	6.903217380741716	0.0006663688848769657	0.9542365985376696
F04041_20000205_1	1.1902847619080679	113.15198672503784	21.746	8.25876530118568	0.0006435212103553312	0.9526855578467684
F04041_20000205_2	1.1845587277195153	113.15230700703547	21.7921	8.25849028264395	0.0006435256507559511	0.9630792230269173
F04041_20000205_3	1.1797686312141888	113.15341875761797	21.8609	8.25859580842577	0.0006435239469463868	0.9613261540739234
F04041_20000205_4	1.1760697854475841	113.1536445201335	21.8568	8.258425762760282	0.0006435266924935764	0.9563805149429052
F04041_20000205_5	1.190139663791248	113.15048824467968	21.8367	8.258159249885894	0.0006435309956531141	0.9621502623887558
F04041_20000205_6	1.185280402930057	113.14879012138353	21.836	8.257142568927536	0.0006435474118030292	0.9612963675831122
F04041_20000205_7	1.179287840887148	113.15099693320504	21.7531	8.257599090087094	0.00064354004031589	0.9646436817814884
F04041_20000205_8	1.1732784295343854	113.15301545934201	21.7642	8.257979615732147	0.0006435338960952416	0.9648767383490817
F04290_20000205_1	2.936743956743441	119.57149801762044	21.6941	10.885257823961972	0.0006043451206733486	0.9732717258726067
F04290_20000205_2	2.932734322477693	119.5739934613089	21.7805	10.885834406406655	0.0006043371807999998	0.9757905326916152
F04290_20000205_3	2.9285306001613307	119.57464676922531	21.7533	10.885701368826156	0.0006043390127803907	0.9657832139153926
F04290_20000205_4	2.922910923113663	119.57482966924934	21.6983	10.885264200696668	0.0006043450328605524	0.973483474946326
F04290_20000205_5	2.9403105734589503	119.57022996808591	21.7236	10.885102578350763	0.0006043472585412061	0.9777010680101639
F04290_20000205_6	2.9334226501546565	119.57096214760121	21.6559	10.884757353967773	0.0006043520126530418	0.9740823517630842
F04290_20000205_7	2.92794824944578	119.57220443281393	21.6643	10.884731245911293	0.0006043523721930531	0.9668629059134128
F04290_20000205_8	2.9229445025552425	119.57455874227104	21.6398	10.88516542791328	0.0006043463930453998	0.9722229154716974
F04291_20000205_1	2.351888307248869	119.70001147411892	21.8888	10.881478357881354	0.0006043971727866501	0.8991134946104342
F04291_20000205_2	2.3459015533373027	119.70247291008624	21.903200000000002	10.88187469840199	0.0006043917137037258	0.9690632703036975
F04291_20000205_3	2.341094799615584	119.7040041624344	21.9335	10.88202646221101	0.0006043896233854469	0.9672384030823897
F04291_20000205_4	2.336693781200347	119.70302303101744	21.905	10.881273789568922	0.000604399990502986	0.9696019236935104
F04291_20000205_5	2.350294521837809	119.69963937015774	21.7749	10.881199409706717	0.0006044010150168678	0.9675649278620174
F04291_20000205_6	2.345773547559902	119.69907136810335	21.7267	10.88059063803146	0.0006044094004530815	0.970720480787635
F04291_20000205_7	2.3405693443734368	119.70111367902629	21.7684	10.8808988646574	0.0006044051547929914	0.9690821530740105
F04291_20000205_8	2.334639041749735	119.70231699307011	21.7151	10.880829633489007	0.0006044061084093031	0.9662466784170191
